,Time,LinearA,AngularV
266,406842000000,0.1893,0.0718
267,407377000000,-0.2387,-0.1236
268,407492000000,0.0413,0.1899
269,407607000000,-0.1865,0.338
270,407682000000,0.1076,0.437
271,407722000000,0.1084,0.437
272,407967000000,0.1283,0.2709
273,408077000000,0.0183,0.2712
274,408132000000,0.0908,0.303
275,408207000000,0.1003,0.3923
276,408382000000,0.1918,0.1962
277,408452000000,-0.1359,0.3236
278,408757000000,0.078,0.3529
279,408872000000,-0.243,0.3694
280,408907000000,0.3565,0.2517
281,409152000000,0.0713,0.3691
282,409342000000,-0.6835,0.291
283,409612000000,0.0269,0.2553
284,409927000000,0.0228,0.2876
285,410312000000,-0.0517,-0.5912
286,410387000000,-0.9366,-0.5914
287,410722000000,-0.0123,-1.2237
288,411422000000,-0.0268,-1.2003
289,411457000000,-0.0135,-1.2003
290,411492000000,-0.0,-1.2003
291,411877000000,0.0618,-0.9238
292,411912000000,0.0658,-0.9238
293,412177000000,0.0479,-0.9171
294,412852000000,0.0041,-0.9215
295,413092000000,-0.0125,-0.5993
296,413842000000,-0.0042,-0.0622
297,414147000000,-0.0005,-0.0189
298,414382000000,-0.0003,-0.0106
299,414867000000,-0.6296,-0.3168
300,414987000000,0.0104,-0.0014
301,415302000000,-0.0015,0.0651
302,415372000000,0.465,-0.1354
303,416177000000,0.011,0.1396
304,416487000000,0.0059,0.0973
305,416657000000,0.0064,0.1291
306,417472000000,0.0012,0.0903
307,417552000000,0.0008,0.0903
308,417702000000,0.8853,-0.0725
309,417827000000,0.0006,0.0917
310,417867000000,0.0004,0.0832
311,418017000000,-0.9718,0.1044
312,418057000000,0.511,0.1007
313,418197000000,-0.0018,0.1496
314,418442000000,0.0058,-0.0235
315,418477000000,0.0005,-0.0235
316,418832000000,0.0006,-0.0312
317,418867000000,0.0004,-0.0228
318,419147000000,0.0003,-0.0629
319,419257000000,0.0005,-0.0544
320,419427000000,0.0001,-0.0459
321,419537000000,0.0088,-0.0451
322,420222000000,-0.0003,-0.028
323,420257000000,-0.0003,-0.028
324,420592000000,0.0003,0.029
325,420742000000,0.0674,-0.0205
326,420857000000,-0.0002,-0.0284
327,421267000000,0.0001,0.0256
328,421342000000,0.0001,0.0256
329,421417000000,0.0001,0.0172
330,421817000000,-0.0,0.0169
331,422132000000,-0.0013,0.1061
332,422167000000,-0.0014,0.0975
333,422562000000,-0.0114,0.1591
334,423182000000,-0.0059,0.0811
335,423372000000,0.3902,0.0664
336,423442000000,-0.9518,0.069
337,423557000000,-0.0094,0.0677
338,423792000000,-0.0078,0.0834
339,423862000000,-0.0118,0.0504
340,423942000000,-0.8256,0.0503
341,424017000000,-0.004,0.0419
342,424052000000,-0.7822,0.0422
343,424242000000,-0.2763,0.0259
344,424412000000,-0.0043,0.0342
345,424827000000,-0.0023,0.0337
346,425122000000,-0.0064,0.0904
347,425192000000,-0.0059,0.0818
348,425317000000,-0.0168,0.2206
349,425807000000,0.3041,0.6586
350,426137000000,-0.2277,0.9082
351,426662000000,-0.1332,0.6852
352,426707000000,-0.1187,0.6419
353,426742000000,-0.1135,0.6419
354,426777000000,-0.1081,0.6419
355,426967000000,-0.0634,0.5214
356,427162000000,-0.0391,0.5994
357,427457000000,0.6435,0.4682
358,427932000000,0.0516,0.4224
359,428147000000,0.0785,0.4748
360,428187000000,0.082,0.4748
361,428867000000,0.0955,0.3841
362,428942000000,0.103,0.4073
363,429727000000,0.0679,0.3206
364,429797000000,0.0762,0.3277
365,430247000000,0.731,0.2984
366,430647000000,0.0341,0.2511
367,431112000000,0.019,0.1769
368,431467000000,0.0132,0.1777
369,431582000000,0.005,0.0706
370,431912000000,0.004,0.0698
371,432212000000,0.0064,0.1586
372,432377000000,0.0039,0.1411
373,432502000000,0.0023,0.116
374,432767000000,0.0005,0.0987
375,432807000000,0.0003,0.0987
376,432882000000,-0.0,0.0738
377,433267000000,-0.0006,0.0483
378,433467000000,-0.0005,0.0316
379,433707000000,-0.0005,0.0233
380,434012000000,-0.0002,0.0069
381,434177000000,0.0,0.0
382,434217000000,0.0,0.0
383,434492000000,0.0,0.0
384,434607000000,0.0002,-0.008
385,434722000000,-0.0004,0.0166
386,434762000000,-0.0004,0.0166
387,434832000000,0.0002,-0.0079
388,434867000000,0.0003,-0.016
389,435282000000,0.0038,-0.0282
390,435392000000,0.0009,-0.0163
391,435632000000,0.0006,-0.0261
392,435817000000,0.0003,-0.018
393,435977000000,-0.1169,-0.0123
394,436052000000,0.8591,0.0037
395,436172000000,-0.4508,-0.0214
396,436677000000,0.0008,-0.0202
397,436757000000,0.003,-0.0119
398,437122000000,0.0001,-0.0196
399,437247000000,-0.0067,-0.0117
400,437692000000,0.0,-0.0114
401,438297000000,-0.0,0.0134
402,438427000000,-0.003,0.3158
403,438962000000,-0.8328,0.9242
404,439042000000,-0.0965,0.6795
405,439392000000,0.0685,0.6658
406,439427000000,-0.0735,0.6131
407,439752000000,0.0392,0.1431
408,439952000000,0.0668,-0.1744
409,440137000000,0.0095,-0.0748
410,440677000000,-0.0025,-0.0174
411,440932000000,-0.0096,-0.0666
412,441132000000,0.171,-0.0825
413,441222000000,0.12,-0.3493
414,441257000000,-0.032,-0.1074
415,441792000000,0.0814,-0.6096
416,441862000000,0.0693,-0.5665
417,441897000000,0.0671,-0.5665
418,441937000000,-0.1639,-0.5668
419,442422000000,-0.9043,-0.1727
420,442462000000,-0.9073,-0.1732
421,442862000000,-0.0085,-0.1553
422,442897000000,-0.0082,-0.1553
423,443102000000,0.002,0.0307
424,443937000000,0.0021,-0.0226
425,444137000000,-0.0548,0.1734
426,444172000000,0.0107,0.1731
427,444807000000,-0.0443,-0.0663
428,444932000000,-0.0054,-0.0664
429,445377000000,0.1027,0.1824
430,445552000000,-0.0032,-0.149
431,445667000000,-0.0132,-0.1493
432,445707000000,-0.0108,-0.1239
433,445902000000,-0.0082,-0.0994
434,445942000000,-0.0386,-0.0091
435,445977000000,0.032,0.0564
436,446192000000,0.0062,0.0712
437,446592000000,-0.0215,-0.2545
438,446792000000,-0.0184,-0.2318
439,447182000000,-0.0123,-0.2224
440,447377000000,-0.0094,-0.2134
441,447852000000,-0.0004,-0.01
442,447997000000,-0.0004,-0.01
443,448162000000,-0.0004,-0.01
444,449187000000,0.7315,-0.0371
445,449847000000,0.084,0.0325
446,450032000000,-0.0012,-0.0505
447,450102000000,-0.0052,-0.2711
448,450412000000,0.6616,-0.5446
449,450597000000,-0.0,0.0
450,450747000000,0.0,0.0
451,450857000000,-0.0,0.0
452,450972000000,-0.0,0.0
