# LinearA, AngularV, Angle
0.006400,-0.307700,-0.000281
0.004600,-0.307700,-0.008791
-0.010000,-0.312000,-0.001177
-0.021600,-0.335300,-0.001765
-0.030400,-0.283600,-0.001050
-0.054200,-0.322700,-0.000725
-0.066700,-0.362500,-0.003021
-0.078600,-0.385700,-0.002660
-0.819400,-0.289400,-0.001346
0.295200,-0.390100,-0.009753
-0.078400,-0.317800,-0.001135
-0.092900,-0.359000,-0.000469
-0.074300,-0.314700,-0.000740
-0.039000,-0.210400,-0.000345
-0.017800,-0.124600,-0.000190
-0.010200,-0.074600,-0.000466
-0.004800,-0.039300,-0.000092
-0.004800,-0.039300,-0.000983
0.014900,0.116100,0.000645
0.018300,0.140300,0.001559
0.017300,0.123900,0.001126
0.010700,0.107300,0.000825
0.015400,0.106600,0.000790
0.028200,0.179900,0.002249
0.028700,0.179900,0.004497
0.036700,0.202900,0.000597
0.032800,0.160000,0.000432
0.045600,0.216700,0.002408
0.055500,0.256800,0.002853
0.090700,0.289700,0.008277
0.057500,0.244400,0.000843
0.072100,0.300800,0.003539
0.075100,0.307900,0.003849
0.082000,0.331400,0.004142
0.082800,0.059500,0.000700
0.062600,0.247400,0.002604
0.084000,0.327300,0.001678
0.077600,0.301600,0.002742
0.077600,0.301600,0.007540
0.072600,0.293300,0.000570
0.068900,0.284100,0.002470
0.066400,0.282000,0.002256
0.063100,0.272900,0.003899
0.024700,0.151700,0.000155
0.025100,0.186900,0.001168
0.019600,0.145300,0.000937
0.027000,0.174300,0.001245
0.019700,0.165500,0.000871
0.809600,0.138200,0.000892
-0.634300,0.192300,0.000566
0.014800,0.208200,0.001301
-0.003000,0.050400,0.000177
0.002400,0.052300,0.000402
0.001800,0.043800,0.000258
0.001400,0.035400,0.000244
0.001400,0.042900,0.000175
0.001400,0.042900,0.000953
0.002000,0.067200,0.000960
0.002200,0.082900,0.000553
-0.000000,-0.000000,-0.000000
-0.000100,0.016100,0.000104
0.000000,0.007500,0.000019
0.000000,0.015500,0.000182
-0.000000,0.039900,0.000235
-0.000000,0.000000,0.000000
-0.004900,0.129800,0.000702
0.045700,-0.009500,-0.000127
0.000000,-0.001200,-0.000006
-0.000200,0.023400,0.000312
-0.000200,-0.017500,-0.000438
0.000200,-0.017500,-0.000233
0.000100,-0.009100,-0.000114
-0.000300,0.023400,0.000065
-0.000300,-0.089700,-0.000087
-0.001100,-0.130200,-0.001628
-0.002300,-0.137800,-0.001148
-0.003700,-0.107600,-0.000652
-0.004100,-0.147100,-0.002452
-0.008400,-0.137000,-0.000330
-0.014700,-0.210200,-0.002336
-0.013800,-0.189500,-0.005414
-0.017500,-0.197100,-0.001232
-0.016300,-0.171900,-0.002292
-0.028800,-0.237700,-0.000699
-0.032100,-0.214400,-0.001531
-0.072100,-0.359200,-0.000359
-0.097300,-0.384300,-0.002562
-0.104100,-0.407500,-0.011643
-0.100500,-0.381500,-0.001316
-0.084900,-0.309500,-0.001548
-0.283000,-0.184200,-0.000428
-0.261300,-0.285600,-0.000621
-0.061900,-0.369800,-0.000622
-0.067800,-0.413300,-0.005511
-0.062800,-0.370900,-0.010597
-0.021200,-0.301700,-0.000539
-0.011100,-0.295500,-0.001159
-0.006600,-0.237200,-0.003389
-0.001200,-0.275100,-0.000873
0.018600,-0.321900,-0.001171
0.016900,-0.263400,-0.005853
0.039600,-0.282800,-0.000488
0.042300,-0.248100,-0.000992
0.043300,-0.248100,-0.006202
0.065600,-0.344300,-0.002648
0.067000,-0.344300,-0.009837
0.074000,-0.367600,-0.007352
-0.348000,-0.339500,-0.001509
0.081300,-0.348700,-0.004102
0.090200,-0.372000,-0.003100
0.092000,-0.349500,-0.000546
0.059200,-0.262200,-0.000288
0.042500,-0.242000,-0.000421
0.029100,-0.223700,-0.001316
0.009200,-0.106200,-0.000123
0.006200,-0.088000,-0.000271
0.007300,-0.112100,-0.000975
0.011200,-0.117900,-0.001241
0.006300,-0.119800,-0.001089
-0.013500,-0.076500,-0.000166
0.001500,-0.068000,-0.000349
-0.014900,-0.058700,-0.000286
0.000700,-0.058900,-0.000693
0.000100,-0.033500,-0.000087
-0.086400,-0.093700,-0.000354
-0.000000,-0.000000,-0.000000
-0.000000,-0.000000,-0.000000
-0.000000,-0.000000,-0.000000
-0.000000,-0.000000,-0.000000
-0.000000,-0.000000,-0.000000
-0.000000,-0.000000,-0.000000
-0.000000,-0.000000,-0.000000
-0.000000,-0.000000,-0.000000
-0.082200,0.052100,0.000139
-0.003200,0.120400,0.000151
-0.008500,0.149100,0.000240
-0.009500,0.149100,0.002130
-0.012900,0.189600,0.002107
-0.013000,0.155500,0.000740
-0.015800,0.140600,0.000420
-0.021700,0.156000,0.000385
-0.018300,0.122500,0.000628
-0.012000,0.059700,0.000041
-0.004700,0.034900,0.000997
0.011100,-0.055000,-0.000193
0.011900,-0.063100,-0.000316
-0.002500,0.011100,0.000247
0.012500,-0.062200,-0.000201
-0.021400,-0.037200,-0.000240
0.008700,-0.045300,-0.000302
0.017400,-0.095300,-0.000217
0.012700,-0.078000,-0.000256
0.563100,0.051000,0.000185
0.005500,-0.034500,-0.000690
0.014900,-0.098900,-0.000235
0.016600,-0.114400,-0.000693
0.016800,-0.122100,-0.001017
0.014900,-0.113400,-0.001417
0.013400,-0.120100,-0.000316
0.008100,-0.093200,-0.000183
0.004000,-0.051200,-0.000209
0.002900,-0.042000,-0.000115
0.003400,-0.049900,-0.001109
0.005600,-0.090500,-0.000411
0.002800,-0.049200,-0.000339
0.002500,-0.048900,-0.000217
0.001600,-0.032200,-0.000146
-0.014000,-0.031100,-0.000071
0.001500,-0.039200,-0.000302
0.001200,-0.030700,-0.000361
0.001300,-0.038700,-0.000221
0.001100,-0.038300,-0.000219
0.001800,-0.070500,-0.000344
0.000800,-0.029300,-0.000586
0.000000,-0.018600,-0.000015
0.000100,-0.010300,-0.000294
-0.000100,-0.034200,-0.000084
-0.000400,-0.042100,-0.000128
-0.000400,-0.025500,-0.000055
-0.000300,-0.017200,-0.000382
-0.000100,-0.009000,-0.000150
-0.000000,-0.000500,-0.000001
-0.000200,-0.008700,-0.000116
-0.000000,-0.000500,-0.000006
-0.000000,-0.000000,-0.000000
-0.000000,-0.000000,-0.000000
-0.000400,-0.016600,-0.000024
-0.000200,-0.008300,-0.000072
-0.003900,-0.097500,-0.000217
-0.005100,-0.113100,-0.000566
-0.006800,-0.112200,-0.000408
-0.007600,-0.119900,-0.002664
-0.026000,-0.186800,-0.000181
-0.092200,-0.192500,-0.000802
-0.032000,-0.192700,-0.004818
-0.032200,-0.183800,-0.001470
-0.043700,-0.240400,-0.003205
-0.034300,-0.182300,-0.001919
-0.034700,-0.182300,-0.005209
-0.052600,-0.227100,-0.000342
-0.032900,-0.136400,-0.001605
-0.057600,-0.242200,-0.002849
-0.070100,-0.271700,-0.000679
-0.069600,-0.271700,-0.003881
-0.076300,-0.295200,-0.007380
-0.061600,-0.235000,-0.000746
-0.067800,-0.258700,-0.002070
-0.069600,-0.265900,-0.003799
-0.047400,-0.183000,-0.001076
-0.038500,-0.149900,-0.001199
-0.068700,-0.259700,-0.000944
-0.059300,-0.255500,-0.002555
-0.052800,-0.235500,-0.000604
-0.345600,-0.002800,-0.000002
0.002700,0.018600,0.000310
0.007700,0.051300,0.001026
0.014400,0.092000,0.000368
-0.188900,0.033600,0.000395
0.016300,0.099900,0.000588
0.043100,0.115800,0.000747
0.031800,0.171400,0.000527
0.028200,0.146300,0.001170
0.031500,0.153900,0.000684
0.026600,0.128900,0.003222
-0.071600,0.132800,0.000718
0.029800,0.136600,0.001951
0.039900,0.180800,0.002583
0.035100,0.155700,0.001639
0.032100,0.138300,0.000659
0.051800,0.212600,0.000525
0.056900,0.227900,0.001139
0.061700,0.242700,0.001156
-0.004000,-0.017000,-0.000011
-0.004700,-0.033800,-0.000422
-0.002500,-0.009100,-0.000182
-0.001300,-0.009100,-0.000165
0.002200,0.015500,0.000135
0.003400,0.023600,0.000262
0.004900,0.172500,0.000401
-0.016400,-0.111500,-0.000455
-0.014700,-0.100400,-0.001116
0.035400,0.249200,0.001038
0.035800,0.256500,0.003206
-0.108100,0.094300,0.001257
-0.011800,0.094300,0.002694
-0.217700,0.660500,0.007771
-0.006500,0.896800,0.010551
-0.005700,0.896800,0.007174
-0.005300,0.896800,0.022420
-0.001600,0.896700,0.002599
0.000000,-0.000000,-0.000000
0.000000,0.000000,0.000000
-0.924800,0.291900,0.000671
0.001100,0.016500,0.000047
-0.001800,-0.000200,-0.000001
-0.000000,-0.000100,-0.000001
0.010900,0.156800,0.000177
-0.001900,-0.075400,-0.000222
-0.010200,-0.179000,-0.000597
-0.189300,0.054900,0.000549
-0.010000,-0.178800,-0.000872
-0.009200,-0.186300,-0.001202
-0.033400,-0.021500,-0.000172
-0.000700,-0.015100,-0.000030
-0.007500,-0.120800,-0.000310
-0.003200,-0.103600,-0.000391
-0.002600,-0.095000,-0.000950
-0.002200,-0.086500,-0.001922
0.011600,-0.076800,-0.000158
-0.000900,-0.068200,-0.000505
0.000100,0.046600,0.000217
-0.000800,-0.059900,-0.000570
0.000300,-0.042600,-0.000120
0.000100,-0.042200,-0.000075
-0.000100,-0.050200,-0.000669
0.000000,-0.009100,-0.000101
0.000100,-0.049900,-0.000587
0.000300,-0.049900,-0.000665
0.000200,-0.041400,-0.000089
-0.006500,-0.000200,-0.000004
0.877000,0.012900,0.000010
