# LinearA, AngularV, Angle
0.189900,-0.566500,-0.016186
0.482600,-0.456900,-0.003807
0.193300,-0.524000,-0.001327
0.094300,-0.481100,-0.002749
0.087900,-0.503900,-0.004382
0.090700,-0.543000,-0.015514
0.020900,-0.493100,-0.000939
-0.031300,-0.429300,-0.000859
-0.050500,-0.436000,-0.002180
-0.066200,-0.339100,-0.000678
-0.050600,-0.315300,-0.002866
-0.060600,-0.287600,-0.008217
-0.062600,-0.287600,-0.003595
-0.050300,-0.201600,-0.000370
-0.050800,-0.201600,-0.005040
-0.136100,-0.143400,-0.003585
-0.052600,-0.216600,-0.001494
-0.032300,-0.124800,-0.000454
0.005900,0.022800,0.000037
0.005900,0.022900,0.000117
0.037300,0.144700,0.000426
0.018200,0.070600,0.000588
0.020700,0.080300,0.002294
0.038900,0.153700,0.001337
0.039200,0.153600,0.002194
0.046400,0.185100,0.000686
0.044200,0.183300,0.000733
0.039600,0.179200,0.000304
0.039400,0.179200,0.005120
0.036500,0.185400,0.000452
0.022900,0.117600,0.000444
0.027100,0.218800,0.000286
0.007000,0.141800,0.000178
0.005400,0.129800,0.003709
0.004800,0.150500,0.002150
0.004200,0.079700,0.000469
0.024900,0.185700,0.001281
0.001600,0.094800,0.000824
0.000900,0.086200,0.000594
0.002500,0.249000,0.000976
-0.553800,0.199500,0.002660
-0.000900,0.117600,0.000811
-0.000600,0.059800,0.000544
-0.000700,0.059200,0.000408
-0.000700,0.042500,0.000147
-0.000600,0.034100,0.000852
-0.000600,0.034100,0.000852
0.002800,0.896900,0.001380
0.003300,0.896900,0.022423
0.010800,1.238300,0.006517
0.007200,0.896800,0.002214
0.003600,0.896700,0.001741
0.003100,0.896700,0.017934
-0.692300,0.624700,0.003675
-0.693300,0.324800,0.009280
-0.000000,0.000000,0.000000
-0.877400,0.013300,0.000057
-0.887300,0.027000,0.000235
0.002000,-0.071700,-0.000623
0.040700,-0.029300,-0.000143
-0.000000,-0.000000,-0.000000
0.000000,-0.000000,-0.000000
0.001000,-0.024300,-0.000081
0.001400,-0.032300,-0.000294
0.000700,-0.015500,-0.000044
0.000700,-0.015500,-0.000443
0.000300,-0.007300,-0.000091
-0.001900,0.048600,0.000099
-0.001300,0.039700,0.000128
-0.001100,0.039300,0.000212
-0.001100,0.039300,0.000786
-0.001300,0.119600,0.000352
-0.001100,0.119600,0.003417
-0.875800,0.157100,0.000215
0.016300,0.164800,0.000532
0.036800,0.255800,0.000581
0.043100,0.279500,0.003106
0.044000,0.218300,0.000370
0.038500,0.174800,0.000507
0.044300,0.200600,0.005015
0.030600,0.148400,0.000560
0.019700,0.082400,0.000305
0.348600,0.132900,0.000831
-0.018700,-0.081300,-0.000301
0.802300,0.012000,0.000071
-0.026800,-0.111000,-0.000673
-0.014800,-0.168700,-0.002410
-0.032900,-0.142300,-0.001054
-0.041300,-0.182700,-0.001462
-0.040700,-0.266700,-0.000325
-0.033500,-0.256000,-0.000826
-0.004300,-0.219700,-0.000341
-0.004400,-0.190000,-0.000864
-0.003500,-0.190000,-0.003800
-0.460800,-0.246000,-0.007029
-0.559300,-0.373000,-0.010657
0.022100,-0.572800,-0.002937
0.086900,-0.529700,-0.015134
-0.671100,-0.061100,-0.000122
-0.850800,-0.091100,-0.002278
0.106300,-0.628900,-0.001700
0.115900,-0.618500,-0.008247
0.441400,-0.558900,-0.004860
0.125600,-0.490400,-0.001257
0.077900,-0.392100,-0.001137
0.089300,-0.405800,-0.010145
0.090000,-0.374300,-0.000985
0.679500,-0.361200,-0.004249
0.078000,-0.352300,-0.002818
0.075200,-0.356600,-0.002459
-0.105100,-0.300800,-0.008594
-0.057500,-0.291500,-0.001943
0.766000,-0.305600,-0.001421
0.022400,-0.190100,-0.001728
0.008000,-0.097800,-0.000275
0.623700,-0.124400,-0.000754
-0.787100,0.075000,0.000288
-0.011900,0.154000,0.000811
-0.028100,0.272900,0.000581
-0.025100,0.231100,0.001926
-0.517200,0.169100,0.000407
0.000000,0.000000,0.000000
0.376500,0.879500,0.003518
0.019000,1.813600,0.005109
0.011600,1.813600,0.021336
-0.078200,1.750400,0.043760
-0.499000,1.456500,0.007105
-0.006700,0.896800,0.001246
-0.005900,0.896700,0.006642
-0.004800,0.896700,0.007174
-0.002700,0.896700,0.004719
0.053200,0.760900,0.005853
0.000900,0.173200,0.000231
-0.000200,0.131700,0.001646
-0.196900,0.048500,0.000105
0.063300,-0.057300,-0.000280
0.245600,-0.057900,-0.000200
0.001100,-0.091400,-0.000571
-0.000100,-0.123300,-0.000536
-0.000300,-0.114600,-0.002865
-0.000600,-0.114600,-0.002865
0.597900,-0.037000,-0.000185
-0.970000,-0.092200,-0.002305
0.608300,0.014900,0.000044
-0.639800,0.035400,0.000443
-0.968800,-0.026700,-0.000314
0.040200,-0.101000,-0.001347
-0.003500,-0.126400,-0.000936
-0.003600,-0.093000,-0.000404
-0.377100,0.004300,0.000009
-0.001600,-0.032700,-0.000082
-0.002500,-0.032600,-0.000407
0.001300,0.024000,0.000034
0.004300,0.081100,0.000416
0.005400,0.184800,0.000435
-0.052500,0.191000,0.000659
-0.001000,0.191000,0.004244
-0.013400,0.186000,0.000295
-0.017400,0.226300,0.005658
-0.019000,0.226300,0.003233
-0.024100,0.241200,0.001556
-0.952900,0.193000,0.002271
-0.071000,0.177400,0.000293
-0.050600,0.283700,0.001891
-0.040900,0.192600,0.000470
-0.061000,0.272900,0.001516
-0.029800,0.210500,0.004678
-0.069400,0.285700,0.000879
-0.077100,0.309200,0.002061
0.135300,0.250900,0.005576
-0.071700,0.300000,0.008571
0.085700,0.264200,0.007549
-0.062000,0.241700,0.001511
-0.074400,0.289100,0.001652
-0.076000,0.296300,0.001646
-0.051300,0.237600,0.000254
-0.050700,0.237600,0.006789
-0.044200,0.219500,0.001909
-0.044500,0.219600,0.004880
-0.044100,0.226900,0.002063
-0.038000,0.208900,0.001348
-0.037600,0.208900,0.005969
-0.011600,0.089900,0.000099
-0.011500,0.089900,0.002569
-0.006800,0.056400,0.000275
0.004100,0.064300,0.001837
-0.007600,0.064200,0.001834
-0.002600,0.022600,0.000078
0.007700,0.119800,0.001597
0.007600,-0.066600,-0.000180
0.021300,-0.155700,-0.000371
0.030000,-0.143100,-0.001908
0.025300,-0.162300,-0.000676
0.032500,-0.185400,-0.000545
0.060900,-0.270300,-0.000378
0.077300,-0.326600,-0.001719
0.053000,-0.219100,-0.002087
0.081800,-0.311100,-0.000444
0.040100,-0.186500,-0.000188
0.032400,-0.172200,-0.000244
-0.816500,-0.151500,-0.000427
0.016400,-0.128800,-0.000572
-0.838900,-0.119600,-0.000498
-0.643200,-0.111200,-0.003177
0.010400,-0.111300,-0.003180
0.009100,-0.104100,-0.000946
0.008900,-0.095300,-0.002723
0.007900,-0.095400,-0.001272
0.008700,-0.103100,-0.001875
0.005100,-0.087200,-0.000229
0.001600,-0.029500,-0.000257
-0.000000,0.000100,0.000001
-0.012400,0.190600,0.000454
-0.013300,0.198200,0.002831
-0.013900,0.198200,0.004955
-0.071600,0.775800,0.002351
-0.726000,0.315800,0.002105
-0.480100,0.523900,0.013098
-0.134400,1.276100,0.002744
0.029500,1.311700,0.015432
0.573300,1.251800,0.025036
0.318400,1.624600,0.010481
0.049300,1.625900,0.046454
0.036900,1.625900,0.046454
-0.547800,1.130800,0.001209
-0.537900,1.093000,0.004651
0.029000,0.577300,0.002457
-0.558900,0.245600,0.002585
-0.846300,0.283600,0.003545
-0.493700,0.463800,0.006626
0.480000,0.267100,0.001781
-0.478500,0.307100,0.002559
0.007000,0.919800,0.006343
0.019500,0.794700,0.004967
0.007300,0.901800,0.020040
0.007100,0.896800,0.007174
0.006700,0.896700,0.008540
0.005600,0.896700,0.005435
-0.015900,-0.159300,-0.000059
-0.014100,-0.150500,-0.001881
-0.008600,-0.131700,-0.000325
-0.001400,-0.070400,-0.000080
-0.000900,-0.061900,-0.000399
0.001300,-0.104700,-0.000194
0.000500,-0.104700,-0.001232
0.001300,-0.062600,-0.000212
0.001200,-0.062600,-0.000835
0.001600,-0.062000,-0.000335
0.000000,-0.001600,-0.000003
-0.000100,-0.000000,-0.000000
0.000000,-0.000000,-0.000000
-0.000500,-0.000000,-0.000000
-0.886000,-0.004900,-0.000140
-0.000200,0.008100,0.000116
-0.000200,0.008100,0.000231
-0.000200,0.008100,0.000054
-0.181400,0.008100,0.000037
0.001700,0.016500,0.000027
-0.000100,0.009000,0.000075
0.115900,-0.028300,-0.000708
0.000400,-0.031900,-0.000336
0.000500,-0.039800,-0.000531
0.000400,-0.031700,-0.000186
0.000400,-0.023200,-0.000084
0.000200,-0.014900,-0.000130
0.000000,-0.000000,-0.000000
0.000000,-0.000000,-0.000000
0.000000,-0.000000,-0.000000
-0.884400,0.004000,0.000035
0.000100,-0.004500,-0.000064
0.533100,0.014100,0.000128
0.002400,0.018800,0.000171
0.000200,-0.008100,-0.000021
0.001300,-0.040700,-0.000354
0.001400,-0.040700,-0.000543
-0.614900,-0.039100,-0.000261
0.972800,-0.028300,-0.000111
0.973800,-0.022300,-0.000066
-0.000400,-0.021600,-0.000288
0.000600,-0.021600,-0.000540
0.007200,-0.029400,-0.000118
0.000600,-0.021100,-0.000169
0.000600,-0.021100,-0.000603
-0.885400,-0.015200,-0.000380
-0.272700,0.000000,0.000000
0.000000,-0.000000,-0.000000
-0.000600,0.024400,0.000075
-0.000800,0.032100,0.000086
0.000300,-0.009000,-0.000030
0.000200,-0.008900,-0.000057
0.588600,0.007500,0.000021
0.003100,-0.087900,-0.000183
0.000900,-0.022000,-0.000072
0.000600,-0.013700,-0.000183
0.039300,0.027300,0.000780
-0.001100,0.027100,0.000236
-0.636200,0.080100,0.000697
-0.000500,0.010100,0.000126
0.000300,-0.009100,-0.000121
0.000800,0.015500,0.000443
-0.000600,0.015400,0.000308
-0.001100,0.031600,0.000198
-0.001100,0.031600,0.000903
0.867100,0.017200,0.000123
0.608700,-0.241900,-0.004398
0.617000,-0.639700,-0.007526
-0.739100,-0.805000,-0.003038
-0.003600,-1.008400,-0.013445
0.376900,-0.948500,-0.006323
0.007000,-0.896800,-0.002424
0.006000,-0.896800,-0.004484
0.002700,-0.896800,-0.002759
0.002400,0.111600,0.000572
0.000000,-0.000000,-0.000000
-0.000000,-0.000000,-0.000000
0.000000,0.000000,0.000000
0.882100,0.057500,0.000383
0.869300,0.112600,0.001501
0.878800,0.122200,0.003055
0.003500,-0.099200,-0.000182
0.002200,-0.082900,-0.000461
0.001400,-0.074300,-0.000402
0.000500,-0.057200,-0.000194
-0.000300,-0.022500,-0.000020
-0.000400,-0.022300,-0.000066
-0.000100,-0.005800,-0.000031
-0.000100,-0.005800,-0.000145
-0.000900,-0.029400,-0.000058
0.032300,-0.070200,-0.000334
-0.002500,-0.070200,-0.002006
0.000900,0.013900,0.000014
0.000900,0.013900,0.000397
-0.000100,-0.002100,-0.000005
-0.009800,-0.126300,-0.000632
-0.009800,-0.126300,-0.001684
-0.003700,-0.040500,-0.000100
0.001600,0.016800,0.000129
0.003400,0.040800,0.000090
0.007900,0.097900,0.000593
0.009500,0.129900,0.000866
0.009200,0.137600,0.001529
0.008800,0.137600,0.003440
0.008600,0.169200,0.001092
0.005000,0.151600,0.000689
0.336800,0.124800,0.000129
0.639200,0.174400,0.000851
-0.004600,0.139800,0.003495
-0.005300,0.139800,0.001748
-0.005700,0.131200,0.000795
-0.005200,0.086000,0.000150
-0.543500,0.132900,0.003797
-0.008900,0.148700,0.001352
-0.609600,-0.038600,-0.000257
0.039400,0.123600,0.003090
-0.007000,0.123700,0.002749
-0.006600,0.115100,0.001354
-0.004800,0.097700,0.000434
-0.006400,0.097700,0.002791
-0.005700,0.081500,0.000408
-0.004000,0.056700,0.001417
0.596300,-0.157600,-0.000375
0.589500,-0.977000,-0.001143
-0.186200,-1.123500,-0.005226
-0.165300,-0.996900,-0.006042
-0.177600,-0.903400,-0.005475
-0.176100,-0.903500,-0.025814
-0.175000,-0.903400,-0.025811
-0.126800,-0.887900,-0.008072
-0.102400,-0.717700,-0.002658
-0.502200,-0.710000,-0.020286
-0.548300,-0.478000,-0.005975
-0.064700,-0.511200,-0.003651
-0.023800,-0.301600,-0.001117
0.000600,-0.133900,-0.000187
0.002400,-0.091400,-0.000244
0.060700,-0.043700,-0.000125
0.001900,-0.041800,-0.000334
0.001900,-0.041800,-0.001194
0.000800,-0.017100,-0.000074
0.002200,-0.041600,-0.000143
-0.000900,0.015800,0.000176
-0.000800,0.015800,0.000395
-0.003600,0.072900,0.000694
-0.005400,0.119600,0.000342
-0.004200,0.110900,0.000887
0.000900,0.204500,0.000435
0.003300,0.195600,0.001630
0.006400,0.219300,0.001907
0.002400,0.212500,0.006071
0.071300,0.274000,0.001337
0.016900,0.273900,0.006847
0.017500,0.248300,0.003547
0.032100,0.270000,0.000628
0.033200,0.270000,0.007714
0.050100,0.326400,0.001764
0.044400,0.253800,0.001128
0.055200,0.310200,0.008863
0.056500,0.310200,0.008863
0.042400,0.192300,0.000370
0.039000,0.190600,0.001525
0.040600,0.182000,0.001103
-0.050300,0.191800,0.000280
0.048600,0.204000,0.002720
0.008700,0.033600,0.000073
-0.026600,-0.088600,-0.000264
