# LinearA, AngularV
0.029000,0.577300
-0.558900,0.245600
-0.846300,0.283600
-0.493700,0.463800
0.480000,0.267100
-0.478500,0.307100
0.007000,0.919800
0.019500,0.794700
0.007300,0.901800
0.007100,0.896800
0.006700,0.896700
0.005600,0.896700
-0.015900,-0.159300
-0.014100,-0.150500
-0.008600,-0.131700
-0.001400,-0.070400
-0.000900,-0.061900
0.001300,-0.104700
0.000500,-0.104700
0.001300,-0.062600
0.001200,-0.062600
0.001600,-0.062000
0.000000,-0.001600
-0.000100,-0.000000
0.000000,-0.000000
-0.000500,-0.000000
-0.886000,-0.004900
-0.000200,0.008100
-0.000200,0.008100
-0.000200,0.008100
-0.181400,0.008100
0.001700,0.016500
-0.000100,0.009000
0.115900,-0.028300
0.000400,-0.031900
0.000500,-0.039800
0.000400,-0.031700
0.000400,-0.023200
0.000200,-0.014900
0.000000,-0.000000
0.000000,-0.000000
0.000000,-0.000000
-0.884400,0.004000
0.000100,-0.004500
0.533100,0.014100
0.002400,0.018800
0.000200,-0.008100
0.001300,-0.040700
0.001400,-0.040700
-0.614900,-0.039100
0.972800,-0.028300
0.973800,-0.022300
-0.000400,-0.021600
0.000600,-0.021600
0.007200,-0.029400
0.000600,-0.021100
0.000600,-0.021100
-0.885400,-0.015200
-0.272700,0.000000
0.000000,-0.000000
-0.000600,0.024400
-0.000800,0.032100
0.000300,-0.009000
0.000200,-0.008900
0.588600,0.007500
0.003100,-0.087900
0.000900,-0.022000
0.000600,-0.013700
0.039300,0.027300
-0.001100,0.027100
-0.636200,0.080100
-0.000500,0.010100
0.000300,-0.009100
0.000800,0.015500
-0.000600,0.015400
-0.001100,0.031600
-0.001100,0.031600
0.867100,0.017200
0.608700,-0.241900
0.617000,-0.639700
-0.739100,-0.805000
-0.003600,-1.008400
0.376900,-0.948500
0.007000,-0.896800
0.006000,-0.896800
0.002700,-0.896800
0.002400,0.111600
0.000000,-0.000000
-0.000000,-0.000000
0.000000,0.000000
0.882100,0.057500
0.869300,0.112600
0.878800,0.122200
0.003500,-0.099200
0.002200,-0.082900
0.001400,-0.074300
0.000500,-0.057200
-0.000300,-0.022500
-0.000400,-0.022300
-0.000100,-0.005800
-0.000100,-0.005800
-0.000900,-0.029400
0.032300,-0.070200
-0.002500,-0.070200
0.000900,0.013900
0.000900,0.013900
-0.000100,-0.002100
-0.009800,-0.126300
-0.009800,-0.126300
-0.003700,-0.040500
0.001600,0.016800
0.003400,0.040800
0.007900,0.097900
0.009500,0.129900
0.009200,0.137600
0.008800,0.137600
0.008600,0.169200
0.005000,0.151600
0.336800,0.124800
0.639200,0.174400
-0.004600,0.139800
-0.005300,0.139800
-0.005700,0.131200
-0.005200,0.086000
-0.543500,0.132900
-0.008900,0.148700
-0.609600,-0.038600
0.039400,0.123600
-0.007000,0.123700
-0.006600,0.115100
-0.004800,0.097700
-0.006400,0.097700
-0.005700,0.081500
-0.004000,0.056700
0.596300,-0.157600
0.589500,-0.977000
-0.186200,-1.123500
-0.165300,-0.996900
-0.177600,-0.903400
-0.176100,-0.903500
-0.175000,-0.903400
-0.126800,-0.887900
-0.102400,-0.717700
-0.502200,-0.710000
-0.548300,-0.478000
-0.064700,-0.511200
-0.023800,-0.301600
0.000600,-0.133900
0.002400,-0.091400
0.060700,-0.043700
0.001900,-0.041800
0.001900,-0.041800
0.000800,-0.017100
0.002200,-0.041600
-0.000900,0.015800
-0.000800,0.015800
-0.003600,0.072900
-0.005400,0.119600
-0.004200,0.110900
0.000900,0.204500
0.003300,0.195600
0.006400,0.219300
0.002400,0.212500
0.071300,0.274000
0.016900,0.273900
0.017500,0.248300
0.032100,0.270000
0.033200,0.270000
0.050100,0.326400
0.044400,0.253800
0.055200,0.310200
0.056500,0.310200
0.042400,0.192300
0.039000,0.190600
0.040600,0.182000
-0.050300,0.191800
0.048600,0.204000
0.008700,0.033600
-0.026600,-0.088600
-0.029100,-0.112800
-0.031000,-0.120500
-0.037100,-0.144600
-0.241500,-0.178200
-0.043300,-0.178300
-0.032200,-0.136900
-0.030900,-0.135900
-0.032200,-0.143500
-0.038800,-0.183900
-0.040900,-0.191500
-0.041000,-0.191400
-0.023500,-0.111700
-0.027700,-0.135900
-0.029600,-0.143600
-0.032900,-0.160000
-0.035300,-0.198800
-0.021500,-0.173400
-0.028300,-0.173500
-0.023600,-0.163300
-0.015100,-0.136800
-0.013300,-0.128100
-0.012600,-0.128100
-0.011500,-0.119400
-0.011400,-0.127000
-0.005100,-0.060600
0.002200,0.030300
0.605400,-0.094300
-0.449400,0.076200
0.009000,0.079400
0.005500,0.079400
0.005000,0.074000
0.009900,0.147900
0.003100,0.048900
0.013500,0.073200
0.003400,0.056300
-0.041100,0.031200
0.003100,0.047100
0.005900,0.087900
0.002100,0.048900
0.003400,0.048900
0.008700,0.122400
-0.557800,0.086100
0.012000,0.193400
0.021900,0.233600
-0.003500,-0.911700
-0.054500,-1.429000
0.011800,-1.133300
0.010200,-1.133300
0.007400,-0.910900
0.006000,-0.896800
0.002000,-0.896800
-0.043100,-0.574500
-0.046500,-0.574600
-0.055500,-0.574600
0.002600,-0.151900
-0.003900,-0.018500
0.109100,0.553000
0.096300,0.552900
0.071600,0.542700
0.043500,0.467300
0.021800,0.381800
0.003500,0.385800
-0.004100,0.203600
-0.003500,0.178200
-0.004200,0.178200
-0.005700,0.202000
-0.914000,0.250600
-0.623300,0.017300
-0.004700,-0.141400
-0.003400,-0.105400
-0.002500,-0.080600
-0.623100,0.109000
0.866800,0.109300
0.875300,0.127400
0.808000,0.126500
-0.009600,0.101400
-0.012700,0.125600
-0.003600,0.034500
0.019400,-0.083900
0.009100,-0.110400
0.010700,-0.183100
0.729400,-0.238600
0.539100,-0.139500
-0.007800,-0.269100
-0.980500,-0.258800
-0.053900,-0.295000
-0.058000,-0.269500
-0.047400,-0.211300
-0.040200,-0.199100
-0.029000,-0.141100
-0.023900,-0.116000
0.104100,-0.174900
0.005100,-0.001400
-0.000300,-0.001300
0.022400,0.110600
0.027700,0.110600
0.033900,0.147900
0.046400,0.203000
0.047100,0.217800
0.057900,0.297800
0.047500,0.302700
0.020200,0.353500
0.012800,0.409400
-0.023300,0.377600
-0.050400,0.430700
-0.057600,0.433300
-0.076300,0.414300
-0.078400,0.414300
0.036600,0.364600
-0.081700,0.381800
-0.079000,0.325300
-0.079100,0.325300
-0.079300,0.325300
-0.095400,0.381400
-0.094200,0.371900
-0.093700,0.371900
-0.085600,0.346100
-0.018000,0.352400
-0.519800,0.318000
0.131400,0.250600
-0.030500,0.225500
-0.028900,0.216400
0.780600,0.138300
-0.009800,0.138400
-0.009900,0.146000
-0.009700,0.146000
-0.008800,0.393200
0.014500,0.409900
-0.105000,0.410200
0.016500,0.415600
0.017900,0.405800
0.491500,1.263100
0.008300,1.629600
0.007900,1.629600
0.012500,1.210800
0.864400,1.137900
-0.160000,0.984600
0.548300,1.172600
-0.074400,1.223100
-0.724600,1.195100
-0.600000,1.349900
0.052300,1.508200
-0.089200,1.217400
-0.831000,1.478000
