# LinearA, AngularV, Angle
-0.003900,-0.167900,-0.000287
-0.007800,-0.005700,-0.000020
-0.013200,-0.273700,-0.000547
-0.006100,-0.125800,-0.000547
-0.030200,-0.275200,-0.000983
-0.010400,-0.085200,-0.000266
-0.010500,-0.085200,-0.002130
-0.017400,-0.173400,-0.000738
-0.011200,-0.120400,-0.000535
-0.009700,-0.072400,-0.002069
-0.009500,-0.072400,-0.001810
-0.365200,-0.371100,-0.000916
0.083100,-0.322400,-0.009211
0.051200,-0.215600,-0.000324
-0.057000,0.225300,0.000543
-0.057800,0.225300,0.005633
-0.121900,0.267000,0.003560
-0.068600,0.274800,0.000462
-0.060500,0.256600,0.000713
-0.060400,0.263900,0.002295
-0.040900,0.218400,0.000387
-0.034500,0.200500,0.001003
-0.031700,0.191600,0.002555
-0.025900,0.181300,0.000585
-0.022900,0.172500,0.002029
-0.023000,0.172500,0.004312
-0.020000,0.163700,0.001129
-0.020500,0.171200,0.004891
-0.016400,0.162400,0.000691
-0.005600,0.076200,0.000129
-0.005300,0.075600,0.000472
-0.004900,0.075600,0.001008
0.000700,-0.015800,-0.000038
0.000900,-0.015700,-0.000449
0.003300,-0.047900,-0.000063
0.003300,-0.047900,-0.000871
0.003400,-0.047900,-0.000958
0.001200,-0.015200,-0.000066
-0.672200,-0.015900,-0.000212
0.000500,-0.006900,-0.000092
0.003200,-0.041200,-0.000158
0.953100,-0.028700,-0.000169
0.003100,-0.040900,-0.000584
0.007900,-0.052100,-0.000120
0.003300,-0.052000,-0.001486
0.005900,-0.100200,-0.000267
0.005400,-0.083000,-0.000361
0.005400,-0.083000,-0.002371
0.631000,-0.040500,-0.000261
0.005100,-0.049500,-0.001414
-0.000700,0.008200,0.000021
-0.003000,0.040600,0.000140
-0.624900,0.008400,0.000034
0.004300,-0.064400,-0.000560
0.003500,-0.047500,-0.000250
0.611300,-0.099100,-0.001239
-0.000200,0.000000,0.000000
-0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
-0.572300,-0.277700,-0.001111
-0.266900,-0.493800,-0.000874
0.129100,-0.517800,-0.002959
0.122100,-0.487600,-0.001189
0.111100,-0.496800,-0.001024
0.100500,-0.470500,-0.006721
0.009800,-0.124200,-0.000144
0.006000,-0.098000,-0.000306
0.005800,-0.105700,-0.000961
0.001900,-0.070500,-0.000104
0.001100,-0.053500,-0.000289
0.001000,-0.053500,-0.000713
0.001100,-0.061400,-0.001754
0.000600,-0.044400,-0.000247
0.000300,-0.052300,-0.000747
0.000500,-0.052300,-0.000615
0.000200,-0.035400,-0.000272
-0.000200,-0.076100,-0.000634
0.000200,-0.076100,-0.002174
-0.000300,-0.083900,-0.000621
-0.000500,-0.091700,-0.002620
-0.005800,-0.096800,-0.000133
-0.023300,-0.233300,-0.000507
-0.024200,-0.233300,-0.006666
-0.021400,-0.206500,-0.000794
-0.951300,-0.196600,-0.001311
0.206800,-0.293600,-0.001631
-0.053300,-0.319600,-0.009131
-0.040400,-0.196200,-0.000441
-0.071300,-0.305000,-0.001525
-0.080300,-0.319400,-0.001065
0.087900,-0.243100,-0.000917
-0.041000,-0.142800,-0.000560
-0.029400,-0.116000,-0.000237
0.033900,-0.201200,-0.002683
-0.028200,-0.180700,-0.000951
-0.090700,-0.372600,-0.000544
-0.087100,-0.363100,-0.010374
-0.086400,-0.363100,-0.010374
-0.081800,-0.353600,-0.004715
-0.073300,-0.327800,-0.003856
-0.071900,-0.327800,-0.007284
-0.070900,-0.351100,-0.002065
-0.046500,-0.283100,-0.000885
-0.045800,-0.306600,-0.002555
-0.044400,-0.306600,-0.008760
-0.024300,-0.230500,-0.000688
-0.023200,-0.230500,-0.005763
-0.016700,-0.212400,-0.001036
-0.008600,-0.203400,-0.000598
-0.006100,-0.203400,-0.001695
-0.003400,-0.170700,-0.001626
-0.002900,-0.170700,-0.004877
0.380200,-0.227300,-0.001515
0.001500,-0.185600,-0.005303
0.001000,-0.185600,-0.004640
0.006800,-0.176600,-0.000519
0.009000,-0.167600,-0.001397
0.017100,-0.184600,-0.000401
0.019700,-0.192100,-0.001670
0.017700,-0.166900,-0.002086
0.034500,-0.232200,-0.000595
0.037600,-0.256100,-0.007317
0.034500,-0.206800,-0.002954
0.046000,-0.190200,-0.000161
0.054700,-0.223200,-0.003189
0.065000,-0.254200,-0.000941
0.069900,-0.268800,-0.001250
0.070100,-0.268800,-0.006720
0.059300,-0.226900,-0.002063
0.061400,-0.234200,-0.003123
0.049600,-0.199900,-0.000888
0.063600,-0.243800,-0.003251
0.073700,-0.218300,-0.006237
0.062100,-0.242100,-0.001274
0.160400,-0.193200,-0.000729
-0.254400,-0.240700,-0.000642
0.046000,-0.173400,-0.000788
0.037400,-0.206200,-0.005155
0.010200,-0.081900,-0.000138
0.020700,-0.156400,-0.004469
0.008400,-0.073300,-0.001629
-0.062400,-0.082200,-0.002349
0.028700,-0.173100,-0.000339
0.011800,-0.081200,-0.000232
0.014800,-0.105400,-0.000878
0.015200,-0.088200,-0.000735
0.011800,-0.088200,-0.002520
0.010900,-0.087400,-0.000343
0.005100,-0.045300,-0.000137
0.005000,-0.045300,-0.000647
0.005800,-0.053100,-0.001328
0.006500,-0.061000,-0.000530
0.013400,-0.142100,-0.000508
0.010200,-0.165000,-0.002357
0.015600,-0.230100,-0.001023
-0.002600,-0.299200,-0.000479
-0.019500,-0.251500,-0.001006
-0.024100,-0.399800,-0.000650
-0.039500,-0.279800,-0.002544
-0.036400,-0.242900,-0.003036
-0.068600,-0.376100,-0.001535
-0.063900,0.105300,0.000231
-0.022500,-0.117800,-0.002618
-0.082800,-0.354100,-0.004721
-0.094300,-0.384600,-0.001115
-0.101600,-0.400900,-0.003341
-0.104200,-0.407700,-0.010193
-0.105000,-0.407700,-0.010193
-0.103700,-0.398100,-0.004976
-0.085500,-0.326000,-0.001230
-0.069000,-0.267600,-0.001115
-0.054600,-0.216600,-0.001313
-0.023500,-0.099900,-0.000200
-0.004300,-0.018300,-0.000089
-0.002400,-0.010000,-0.000091
-0.000400,-0.001800,-0.000012
0.002900,0.013700,0.000023
0.783600,0.014600,0.000020
-0.207900,0.075800,0.000948
-0.085100,0.129200,0.003691
0.189300,0.071800,0.000359
-0.238700,-0.123600,-0.000231
0.041300,0.189900,0.001651
-0.186500,0.338000,0.002939
0.107600,0.437000,0.005827
0.108400,0.437000,0.010925
0.128300,0.270900,0.001106
0.018300,0.271200,0.002465
0.090800,0.303000,0.005509
0.100300,0.392300,0.005231
0.191800,0.196200,0.001121
-0.135900,0.323600,0.004623
0.078000,0.352900,0.001157
-0.243000,0.369400,0.003212
0.356500,0.251700,0.007191
0.071300,0.369100,0.001507
-0.683500,0.291000,0.001532
0.026900,0.255300,0.000946
0.022800,0.287600,0.000913
-0.051700,-0.591200,-0.001536
-0.936600,-0.591400,-0.007885
-0.012300,-1.223700,-0.003653
-0.026800,-1.200300,-0.001715
-0.013500,-1.200300,-0.034294
-0.000000,-1.200300,-0.034294
0.061800,-0.923800,-0.002399
0.065800,-0.923800,-0.026394
0.047900,-0.917100,-0.003461
0.004100,-0.921500,-0.001365
-0.012500,-0.599300,-0.002497
-0.004200,-0.062200,-0.000083
-0.000500,-0.018900,-0.000062
-0.000300,-0.010600,-0.000045
-0.629600,-0.316800,-0.000653
0.010400,-0.001400,-0.000012
-0.001500,0.065100,0.000207
0.465000,-0.135400,-0.001934
0.011000,0.139600,0.000173
0.005900,0.097300,0.000314
0.006400,0.129100,0.000759
0.001200,0.090300,0.000111
0.000800,0.090300,0.001129
0.885300,-0.072500,-0.000483
0.000600,0.091700,0.000734
0.000400,0.083200,0.002080
-0.971800,0.104400,0.000696
0.511000,0.100700,0.002517
-0.001800,0.149600,0.001069
0.005800,-0.023500,-0.000096
0.000500,-0.023500,-0.000671
0.000600,-0.031200,-0.000088
0.000400,-0.022800,-0.000651
0.000300,-0.062900,-0.000225
0.000500,-0.054400,-0.000495
0.000100,-0.045900,-0.000270
0.008800,-0.045100,-0.000410
-0.000300,-0.028000,-0.000041
-0.000300,-0.028000,-0.000800
0.000300,0.029000,0.000087
0.067400,-0.020500,-0.000137
-0.000200,-0.028400,-0.000247
0.000100,0.025600,0.000062
0.000100,0.025600,0.000341
0.000100,0.017200,0.000229
-0.000000,0.016900,0.000042
-0.001300,0.106100,0.000337
-0.001400,0.097500,0.002786
-0.011400,0.159100,0.000403
-0.005900,0.081100,0.000131
0.390200,0.066400,0.000349
-0.951800,0.069000,0.000986
-0.009400,0.067700,0.000589
-0.007800,0.083400,0.000355
-0.011800,0.050400,0.000720
-0.825600,0.050300,0.000629
-0.004000,0.041900,0.000559
-0.782200,0.042200,0.001206
-0.276300,0.025900,0.000136
-0.004300,0.034200,0.000201
-0.002300,0.033700,0.000081
-0.006400,0.090400,0.000306
-0.005900,0.081800,0.001169
-0.016800,0.220600,0.001765
0.304100,0.658600,0.001344
-0.227700,0.908200,0.002752
-0.133200,0.685200,0.001305
-0.118700,0.641900,0.014264
-0.113500,0.641900,0.018340
-0.108100,0.641900,0.018340
-0.063400,0.521400,0.002744
-0.039100,0.599400,0.003074
0.643500,0.468200,0.001587
0.051600,0.422400,0.000889
0.078500,0.474800,0.002208
0.082000,0.474800,0.011870
0.095500,0.384100,0.000565
0.103000,0.407300,0.005431
0.067900,0.320600,0.000408
0.076200,0.327700,0.004681
0.731000,0.298400,0.000663
0.034100,0.251100,0.000628
0.019000,0.176900,0.000380
0.013200,0.177700,0.000501
0.005000,0.070600,0.000614
0.004000,0.069800,0.000212
0.006400,0.158600,0.000529
0.003900,0.141100,0.000855
0.002300,0.116000,0.000928
0.000500,0.098700,0.000372
0.000300,0.098700,0.002468
-0.000000,0.073800,0.000984
-0.000600,0.048300,0.000125
-0.000500,0.031600,0.000158
-0.000500,0.023300,0.000097
-0.000200,0.006900,0.000023
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000200,-0.008000,-0.000070
-0.000400,0.016600,0.000144
-0.000400,0.016600,0.000415
0.000200,-0.007900,-0.000113
0.000300,-0.016000,-0.000457
0.003800,-0.028200,-0.000068
0.000900,-0.016300,-0.000148
0.000600,-0.026100,-0.000109
0.000300,-0.018000,-0.000097
-0.116900,-0.012300,-0.000077
0.859100,0.003700,0.000049
